day;month;year;countriesAndTerritories;cases;deaths
9;4;2020;Afghanistan;56;3
8;4;2020;Afghanistan;30;4
7;4;2020;Afghanistan;38;0
6;4;2020;Afghanistan;29;2
5;4;2020;Afghanistan;35;1
4;4;2020;Afghanistan;0;0
3;4;2020;Afghanistan;43;0
2;4;2020;Afghanistan;26;0
1;4;2020;Afghanistan;25;0
31;3;2020;Afghanistan;27;0
30;3;2020;Afghanistan;8;1
29;3;2020;Afghanistan;15;1
28;3;2020;Afghanistan;16;1
27;3;2020;Afghanistan;0;0
26;3;2020;Afghanistan;33;0
25;3;2020;Afghanistan;2;0
24;3;2020;Afghanistan;6;1
23;3;2020;Afghanistan;10;0
22;3;2020;Afghanistan;0;0
21;3;2020;Afghanistan;2;0
20;3;2020;Afghanistan;0;0
19;3;2020;Afghanistan;0;0
18;3;2020;Afghanistan;1;0
17;3;2020;Afghanistan;5;0
16;3;2020;Afghanistan;6;0
15;3;2020;Afghanistan;3;0
11;3;2020;Afghanistan;3;0
8;3;2020;Afghanistan;3;0
2;3;2020;Afghanistan;0;0
1;3;2020;Afghanistan;0;0
29;2;2020;Afghanistan;0;0
28;2;2020;Afghanistan;0;0
27;2;2020;Afghanistan;0;0
26;2;2020;Afghanistan;0;0
25;2;2020;Afghanistan;1;0
24;2;2020;Afghanistan;0;0
23;2;2020;Afghanistan;0;0
22;2;2020;Afghanistan;0;0
21;2;2020;Afghanistan;0;0
20;2;2020;Afghanistan;0;0
19;2;2020;Afghanistan;0;0
18;2;2020;Afghanistan;0;0
17;2;2020;Afghanistan;0;0
16;2;2020;Afghanistan;0;0
15;2;2020;Afghanistan;0;0
14;2;2020;Afghanistan;0;0
13;2;2020;Afghanistan;0;0
12;2;2020;Afghanistan;0;0
11;2;2020;Afghanistan;0;0
10;2;2020;Afghanistan;0;0
9;2;2020;Afghanistan;0;0
8;2;2020;Afghanistan;0;0
7;2;2020;Afghanistan;0;0
6;2;2020;Afghanistan;0;0
5;2;2020;Afghanistan;0;0
4;2;2020;Afghanistan;0;0
3;2;2020;Afghanistan;0;0
2;2;2020;Afghanistan;0;0
1;2;2020;Afghanistan;0;0
31;1;2020;Afghanistan;0;0
30;1;2020;Afghanistan;0;0
29;1;2020;Afghanistan;0;0
28;1;2020;Afghanistan;0;0
27;1;2020;Afghanistan;0;0
26;1;2020;Afghanistan;0;0
25;1;2020;Afghanistan;0;0
24;1;2020;Afghanistan;0;0
23;1;2020;Afghanistan;0;0
22;1;2020;Afghanistan;0;0
21;1;2020;Afghanistan;0;0
20;1;2020;Afghanistan;0;0
19;1;2020;Afghanistan;0;0
18;1;2020;Afghanistan;0;0
17;1;2020;Afghanistan;0;0
16;1;2020;Afghanistan;0;0
15;1;2020;Afghanistan;0;0
14;1;2020;Afghanistan;0;0
13;1;2020;Afghanistan;0;0
12;1;2020;Afghanistan;0;0
11;1;2020;Afghanistan;0;0
10;1;2020;Afghanistan;0;0
9;1;2020;Afghanistan;0;0
8;1;2020;Afghanistan;0;0
7;1;2020;Afghanistan;0;0
6;1;2020;Afghanistan;0;0
5;1;2020;Afghanistan;0;0
4;1;2020;Afghanistan;0;0
3;1;2020;Afghanistan;0;0
2;1;2020;Afghanistan;0;0
1;1;2020;Afghanistan;0;0
31;12;2019;Afghanistan;0;0
9;4;2020;Albania;17;0
8;4;2020;Albania;6;0
7;4;2020;Albania;16;1
6;4;2020;Albania;28;2
5;4;2020;Albania;29;2
4;4;2020;Albania;27;1
3;4;2020;Albania;18;1
2;4;2020;Albania;16;0
1;4;2020;Albania;20;3
31;3;2020;Albania;11;2
30;3;2020;Albania;15;0
29;3;2020;Albania;11;1
28;3;2020;Albania;12;3
27;3;2020;Albania;28;1
26;3;2020;Albania;23;0
25;3;2020;Albania;23;1
24;3;2020;Albania;11;2
23;3;2020;Albania;13;0
22;3;2020;Albania;6;0
21;3;2020;Albania;0;0
20;3;2020;Albania;11;0
19;3;2020;Albania;4;1
18;3;2020;Albania;4;0
17;3;2020;Albania;9;0
16;3;2020;Albania;4;0
15;3;2020;Albania;5;0
14;3;2020;Albania;10;0
13;3;2020;Albania;12;0
12;3;2020;Albania;1;1
11;3;2020;Albania;4;0
10;3;2020;Albania;4;0
9;3;2020;Albania;2;0
9;4;2020;Andorra;19;1
8;4;2020;Andorra;19;1
7;4;2020;Andorra;25;3
6;4;2020;Andorra;35;1
9;4;2020;Algeria;104;11
8;4;2020;Algeria;45;21
7;4;2020;Algeria;103;21
6;4;2020;Algeria;20;22
